events,average_latency_us,minimum_latency_us,maximum_latency_us
20,558.15,434,768
40,510.125,289,770
60,509.467,210,1735
80,437,127,1735
100,399.89,127,1735
120,399.3,127,1735
140,392.671,127,1735
160,398.775,127,1735
180,397.728,127,1735
200,392.595,127,1735
220,407.995,127,1735
240,406.204,127,1735
260,405.112,127,1735
280,401.532,127,1735
300,399,127,1735
320,396.491,127,1735
340,392.194,127,1735
360,392.594,127,1735
380,389.368,127,1735
400,385.595,127,1735
420,381.324,127,1735
440,380.72,127,1735
460,378.574,127,1735
480,380.029,127,1735
500,380.164,127,1735
520,378.1,127,1735
540,375.393,127,1735
560,373.525,127,1735
580,370.916,127,1735
600,370.108,127,1735
620,367.96,127,1735
640,366.925,127,1735
660,364.524,127,1735
680,362.981,127,1735
700,367.286,127,1735
720,368.057,127,1735
740,372.134,127,1735
760,373.77,127,1735
780,375.649,127,1735
800,381.817,127,1735
820,381.559,127,1735
840,383.554,127,1735
860,383.623,127,1735
880,381.828,127,1735
900,378.082,127,1735
920,374.832,127,1735
940,378.614,127,1735
960,380.059,127,1735
980,383.51,127,1735
1000,391.058,127,2456
1020,390.493,127,2456
1040,390.736,127,2456
1060,394.318,127,2456
1080,392.066,127,2456
1100,388.494,111,2456
1120,385.921,111,2456
1140,386.625,111,2456
1160,388.97,111,2456
1180,388.393,111,2456
1200,387.529,111,2456
1220,388.775,111,2456
1240,388.104,111,2456
1260,386.974,111,2456
1280,384.135,111,2456
1300,381.531,111,2456
1320,380.409,111,2456
1340,378.561,111,2456
1360,376.983,111,2456
1380,375.509,111,2456
1400,374,111,2456
1420,372.342,111,2456
1440,371.577,111,2456
1460,372.016,111,2456
1480,371.481,111,2456
1500,370.619,111,2456
1520,370.203,111,2456
1540,370.03,111,2456
1560,373.747,111,2456
1580,373.465,111,2456
20,457.8,181,865
40,476.475,156,1009
60,417.333,129,1009
80,411.275,129,1009
100,396.85,129,1009
120,383.7,129,1009
140,352.771,125,1009
160,328.906,108,1009
180,320.133,108,1009
200,309.595,108,1009
220,303.582,108,1009
240,292.267,108,1009
260,283.081,102,1009
280,288.982,102,1009
300,296.347,102,1009
320,296.591,102,1009
340,295.926,102,1009
360,295.053,102,1009
380,292.866,102,1009
400,289.702,102,1009
420,285.679,102,1009
440,282.234,102,1009
460,279.493,102,1009
480,280.383,102,1009
500,282.016,102,1009
520,283.121,102,1009
540,288.217,102,1267
560,297.212,102,1639
580,296.11,102,1639
600,297.07,102,1639
620,304.134,102,1639
640,310.403,102,1639
660,309,102,1639
680,313.622,102,1639
700,317.841,102,1639
20 , 344.4 , 149 , 674 , 301 , 640 , 640
40 , 329.775 , 149 , 704 , 259 , 674 , 700
60 , 292 , 140 , 704 , 258 , 640 , 700
80 , 294.475 , 118 , 704 , 250 , 618 , 700
100 , 282.71 , 118 , 704 , 246 , 585 , 700
120 , 269.642 , 118 , 704 , 228 , 579 , 674
140 , 258.45 , 118 , 704 , 210 , 547 , 674
160 , 255.281 , 118 , 704 , 208 , 545 , 674
180 , 254.811 , 118 , 704 , 214 , 536 , 674
200 , 253.08 , 118 , 704 , 213 , 529 , 674
220 , 263.759 , 118 , 763 , 222 , 547 , 674
240 , 258.492 , 118 , 763 , 220 , 545 , 674
260 , 252.712 , 118 , 763 , 210 , 536 , 674
280 , 247.839 , 118 , 763 , 206 , 529 , 674
300 , 243.043 , 118 , 763 , 199 , 519 , 674
320 , 240.853 , 118 , 763 , 198 , 507 , 646
340 , 238.921 , 118 , 763 , 196 , 503 , 646
360 , 239.058 , 118 , 763 , 196 , 503 , 646
380 , 238.087 , 118 , 763 , 196 , 503 , 646
400 , 237.107 , 118 , 763 , 196 , 503 , 646
420 , 237.679 , 118 , 763 , 196 , 503 , 640
440 , 237.089 , 118 , 763 , 196 , 503 , 640
460 , 238.974 , 118 , 763 , 196 , 529 , 640
480 , 244.702 , 118 , 949 , 198 , 536 , 674
500 , 245.268 , 118 , 949 , 198 , 536 , 678
520 , 244.577 , 111 , 949 , 198 , 536 , 674
540 , 252.741 , 111 , 949 , 201 , 545 , 678
560 , 263.414 , 111 , 949 , 207 , 577 , 719
580 , 270.893 , 111 , 1183 , 209 , 582 , 798
600 , 273.653 , 111 , 1183 , 210 , 591 , 825
620 , 276.111 , 111 , 1183 , 210 , 597 , 836
640 , 274.472 , 111 , 1183 , 208 , 597 , 836
660 , 273.473 , 111 , 1183 , 208 , 601 , 836
680 , 272.512 , 111 , 1183 , 207 , 609 , 836
700 , 273.406 , 111 , 1183 , 207 , 616 , 842
720 , 275.64 , 111 , 1183 , 206 , 631 , 908
740 , 276.614 , 111 , 1183 , 206 , 640 , 924
760 , 277.879 , 111 , 1183 , 205 , 646 , 929
780 , 278.509 , 111 , 1183 , 202 , 674 , 933
800 , 279.45 , 111 , 1183 , 201 , 678 , 938
820 , 279.491 , 111 , 1183 , 199 , 691 , 938
840 , 280.902 , 111 , 1183 , 199 , 702 , 948
860 , 280.919 , 111 , 1183 , 198 , 703 , 948
880 , 281.81 , 111 , 1183 , 198 , 706 , 949
900 , 287.157 , 111 , 1412 , 198 , 733 , 1047
920 , 288.812 , 111 , 1412 , 197 , 749 , 1047
940 , 291.579 , 111 , 1412 , 197 , 770 , 1050
960 , 289.714 , 111 , 1412 , 196 , 765 , 1050
980 , 292.809 , 111 , 1412 , 197 , 783 , 1073
1000 , 292.539 , 111 , 1552 , 198 , 783 , 1081
1020 , 297.676 , 111 , 1679 , 198 , 815 , 1156
1040 , 305.397 , 111 , 1679 , 200 , 825 , 1195
1060 , 309.044 , 111 , 1679 , 203 , 825 , 1195
1080 , 311.144 , 111 , 1679 , 205 , 825 , 1195
1100 , 315.016 , 111 , 1679 , 206 , 842 , 1239
1120 , 319.262 , 111 , 1679 , 207 , 891 , 1284
1140 , 323.206 , 111 , 1679 , 209 , 908 , 1284
1160 , 328.671 , 111 , 2179 , 210 , 924 , 1312
1180 , 333.628 , 111 , 2179 , 213 , 933 , 1341
1200 , 346.53 , 111 , 2785 , 217 , 1011 , 1445
1220 , 364.83 , 111 , 4589 , 220 , 1032 , 1679
1240 , 376.483 , 111 , 4589 , 222 , 1057 , 2179
1260 , 390.183 , 111 , 4589 , 226 , 1109 , 2602
1280 , 401.498 , 111 , 4589 , 227 , 1166 , 2703
1300 , 409.955 , 111 , 4589 , 229 , 1239 , 2703
1320 , 412.098 , 111 , 4589 , 232 , 1208 , 2644
1340 , 418.005 , 111 , 4589 , 236 , 1284 , 2644
