symbol,interval_start,open,high,low,close,volume,trade_count
ETHUSDT,2026-07-30 12:28:00,1900.76,1900.77,1900.76,1900.76,1.3603,12
BTCUSDT,2026-07-30 12:28:00,63990.5,63990.6,63990.5,63990.5,0.05986,60
BTCUSDT,2026-07-30 12:29:00,63990.5,64002,63990.5,64002,3.96478,2001
SOLUSDT,2026-07-30 12:29:00,73.51,73.53,73.5,73.53,67.645,97
ETHUSDT,2026-07-30 12:29:00,1900.77,1901.33,1900.68,1901.32,68.3956,749
BTCUSDT,2026-07-30 12:35:00,64092,64092,64092,64092,0.09038,38
ETHUSDT,2026-07-30 12:35:00,1905.71,1905.8,1905.7,1905.8,1.9465,46
SOLUSDT,2026-07-30 12:35:00,73.71,73.71,73.71,73.71,0.081,1
BTCUSDT,2026-07-30 13:33:00,63997.6,63997.6,63982,63982,3.75496,1086
ETHUSDT,2026-07-30 13:33:00,1901.21,1901.22,1900.51,1900.52,38.451,395
SOLUSDT,2026-07-30 13:33:00,73.33,73.33,73.3,73.31,198.876,92
BTCUSDT,2026-07-30 13:37:00,64020,64020,64020,64020,2.3657,490
SOLUSDT,2026-07-30 13:37:00,73.38,73.39,73.38,73.39,28.072,9
ETHUSDT,2026-07-30 13:37:00,1903.28,1903.41,1903.24,1903.25,9.5141,211
BTCUSDT,2026-07-30 13:46:00,64032,64032,64032,64032,3.01449,2955
ETHUSDT,2026-07-30 13:46:00,1905.03,1905.22,1904.75,1905.07,29.4739,1014
SOLUSDT,2026-07-30 13:46:00,73.43,73.44,73.41,73.43,400.822,135
BTCUSDT,2026-07-30 13:47:00,64052,64052,64052,64052,0.41066,467
ETHUSDT,2026-07-30 13:47:00,1906.05,1906.06,1905.98,1905.98,1.58,74
SOLUSDT,2026-07-30 13:47:00,73.46,73.46,73.45,73.45,235.832,77
BTCUSDT,2026-07-30 13:48:00,64052,64052,64026.6,64026.6,14.2371,6496
ETHUSDT,2026-07-30 13:48:00,1905.99,1905.99,1904.73,1904.94,76.479,2886
SOLUSDT,2026-07-30 13:48:00,73.45,73.46,73.42,73.43,407.333,252
BTCUSDT,2026-07-30 13:49:00,64014.6,64014.6,64014.6,64014.6,2.06317,1004
ETHUSDT,2026-07-30 13:49:00,1904.79,1904.98,1904.78,1904.79,12.0816,560
SOLUSDT,2026-07-30 13:49:00,73.43,73.43,73.42,73.42,645.495,177
BTCUSDT,2026-07-30 13:55:00,64190.4,64250,64190.4,64246,19.1338,4929
ETHUSDT,2026-07-30 13:55:00,1909.67,1912.39,1909.67,1912.1,293.956,3155
SOLUSDT,2026-07-30 13:55:00,73.56,73.65,73.56,73.64,739.253,352
ETHUSDT,2026-08-03 23:28:00,1868.65,1868.66,1868.16,1868.16,32.4982,431
SOLUSDT,2026-08-03 23:28:00,73.71,73.71,73.68,73.7,1058.9,115
BTCUSDT,2026-08-03 23:28:00,63892,63904.2,63892,63892,7.08589,872
